_link,_link_main,cod_reg,com_att,num_com
0.enti.ente_p.com.0,0,10,4,4
1.enti.ente_p.com.0,1,19,4,4
2.enti.ente_p.com.0,2,3,4,4
3.enti.ente_p.com.0,3,15,4,4
4.enti.ente_p.com.0,4,2,4,4
5.enti.ente_p.com.0,5,9,4,4
6.enti.ente_p.com.0,6,20,4,4
7.enti.ente_p.com.0,7,7,4,4
8.enti.ente_p.com.0,8,6,4,4
9.enti.ente_p.com.0,9,17,4,4
10.enti.ente_p.com.0,10,8,4,4
11.enti.ente_p.com.0,11,14,4,4
12.enti.ente_p.com.0,12,11,4,4
13.enti.ente_p.com.0,13,18,4,4
14.enti.ente_p.com.0,14,5,4,4
15.enti.ente_p.com.0,15,4,4,4
16.enti.ente_p.com.0,16,12,4,4
17.enti.ente_p.com.0,17,1,4,4
18.enti.ente_p.com.0,18,13,4,4
19.enti.ente_p.com.0,19,16,4,4
20.enti.ente_p.com.0,20,10,4,4
21.enti.ente_p.com.0,21,19,4,4
22.enti.ente_p.com.0,22,3,4,4
23.enti.ente_p.com.0,23,15,4,4
24.enti.ente_p.com.0,24,2,4,4
25.enti.ente_p.com.0,25,9,4,4
26.enti.ente_p.com.0,26,20,4,4
27.enti.ente_p.com.0,27,7,4,4
28.enti.ente_p.com.0,28,6,4,4
29.enti.ente_p.com.0,29,17,4,4
30.enti.ente_p.com.0,30,8,4,4
31.enti.ente_p.com.0,31,14,4,4
32.enti.ente_p.com.0,32,11,4,4
33.enti.ente_p.com.0,33,18,4,4
34.enti.ente_p.com.0,34,5,4,4
35.enti.ente_p.com.0,35,4,4,4
36.enti.ente_p.com.0,36,12,4,4
37.enti.ente_p.com.0,37,1,4,4
38.enti.ente_p.com.0,38,13,4,4
39.enti.ente_p.com.0,39,16,4,4
40.enti.ente_p.com.0,40,10,4,4
41.enti.ente_p.com.0,41,19,4,4
42.enti.ente_p.com.0,42,3,4,4
43.enti.ente_p.com.0,43,15,4,4
44.enti.ente_p.com.0,44,2,4,4
45.enti.ente_p.com.0,45,9,4,4
46.enti.ente_p.com.0,46,20,4,4
47.enti.ente_p.com.0,47,7,4,4
48.enti.ente_p.com.0,48,6,4,4
49.enti.ente_p.com.0,49,17,4,4
50.enti.ente_p.com.0,50,8,4,4
51.enti.ente_p.com.0,51,14,4,4
52.enti.ente_p.com.0,52,11,4,4
53.enti.ente_p.com.0,53,18,4,4
54.enti.ente_p.com.0,54,5,4,4
55.enti.ente_p.com.0,55,4,4,4
56.enti.ente_p.com.0,56,12,4,4
57.enti.ente_p.com.0,57,1,4,4
58.enti.ente_p.com.0,58,13,4,4
59.enti.ente_p.com.0,59,16,4,4
60.enti.ente_p.com.0,60,10,4,4
61.enti.ente_p.com.0,61,19,4,4
62.enti.ente_p.com.0,62,3,4,4
63.enti.ente_p.com.0,63,15,4,4
64.enti.ente_p.com.0,64,2,4,4
65.enti.ente_p.com.0,65,9,4,4
66.enti.ente_p.com.0,66,20,4,4
67.enti.ente_p.com.0,67,7,4,4
68.enti.ente_p.com.0,68,6,4,4
69.enti.ente_p.com.0,69,17,4,4
70.enti.ente_p.com.0,70,8,4,4
71.enti.ente_p.com.0,71,14,4,4
72.enti.ente_p.com.0,72,11,4,4
73.enti.ente_p.com.0,73,18,4,4
74.enti.ente_p.com.0,74,5,4,4
75.enti.ente_p.com.0,75,4,4,4
76.enti.ente_p.com.0,76,12,4,4
77.enti.ente_p.com.0,77,1,4,4
78.enti.ente_p.com.0,78,13,4,4
79.enti.ente_p.com.0,79,16,4,4
80.enti.ente_p.com.0,80,10,4,4
81.enti.ente_p.com.0,81,19,4,4
82.enti.ente_p.com.0,82,3,4,4
83.enti.ente_p.com.0,83,15,4,4
84.enti.ente_p.com.0,84,2,4,4
85.enti.ente_p.com.0,85,9,4,4
86.enti.ente_p.com.0,86,20,4,4
87.enti.ente_p.com.0,87,7,4,4
88.enti.ente_p.com.0,88,6,4,4
89.enti.ente_p.com.0,89,17,4,4
90.enti.ente_p.com.0,90,8,4,4
91.enti.ente_p.com.0,91,14,4,4
92.enti.ente_p.com.0,92,11,4,4
93.enti.ente_p.com.0,93,18,4,4
94.enti.ente_p.com.0,94,5,4,4
95.enti.ente_p.com.0,95,4,4,4
96.enti.ente_p.com.0,96,12,4,4
97.enti.ente_p.com.0,97,1,4,4
98.enti.ente_p.com.0,98,13,4,4
99.enti.ente_p.com.0,99,16,4,4
