_link,_link_enti_enti_f,_link_main,com,dt_com,scheda,enti_p,enti_t,perc,vot_m,vot_f,vot_t,perc_r
0.enti.enti_f.0.com_vot.0,0.enti.enti_f.0,0,1,20250608120000,2,707,707,"6,62",0,0,32497,
0.enti.enti_f.0.com_vot.1,0.enti.enti_f.0,0,2,20250608190000,2,707,707,"15,43",0,0,75714,
0.enti.enti_f.0.com_vot.2,0.enti.enti_f.0,0,3,20250608230000,2,707,707,"21,91",0,0,107546,
0.enti.enti_f.0.com_vot.3,0.enti.enti_f.0,0,4,20250609150000,2,707,707,"31,16",72021,80916,152937,
0.enti.enti_f.1.com_vot.0,0.enti.enti_f.1,0,1,20250608120000,2,294,294,"6,93",0,0,11663,
0.enti.enti_f.1.com_vot.1,0.enti.enti_f.1,0,2,20250608190000,2,294,294,"15,21",0,0,25603,
0.enti.enti_f.1.com_vot.2,0.enti.enti_f.1,0,3,20250608230000,2,294,294,"22,01",0,0,37052,
0.enti.enti_f.1.com_vot.3,0.enti.enti_f.1,0,4,20250609150000,2,294,294,"31,35",24897,27885,52782,
1.enti.enti_f.0.com_vot.0,1.enti.enti_f.0,1,1,20250608120000,2,512,512,"3,23",0,0,10770,
1.enti.enti_f.0.com_vot.1,1.enti.enti_f.0,1,2,20250608190000,2,512,512,"8,31",0,0,27704,
1.enti.enti_f.0.com_vot.2,1.enti.enti_f.0,1,3,20250608230000,2,512,512,"13,36",0,0,44533,
1.enti.enti_f.0.com_vot.3,1.enti.enti_f.0,1,4,20250609150000,2,512,512,"19,60",30967,34379,65346,
1.enti.enti_f.1.com_vot.0,1.enti.enti_f.1,1,1,20250608120000,2,289,289,"3,27",0,0,6587,
1.enti.enti_f.1.com_vot.1,1.enti.enti_f.1,1,2,20250608190000,2,289,289,"8,46",0,0,17041,
1.enti.enti_f.1.com_vot.2,1.enti.enti_f.1,1,3,20250608230000,2,289,289,"13,91",0,0,28019,
1.enti.enti_f.1.com_vot.3,1.enti.enti_f.1,1,4,20250609150000,2,289,289,"19,85",18842,21159,40001,
1.enti.enti_f.2.com_vot.0,1.enti.enti_f.2,1,1,20250608120000,2,1126,1126,"4,79",0,0,41268,
1.enti.enti_f.2.com_vot.1,1.enti.enti_f.2,1,2,20250608190000,2,1126,1126,"10,85",0,0,93535,
1.enti.enti_f.2.com_vot.2,1.enti.enti_f.2,1,3,20250608230000,2,1126,1126,"17,00",0,0,146563,
1.enti.enti_f.2.com_vot.3,1.enti.enti_f.2,1,4,20250609150000,2,1126,1126,"24,03",96254,110943,207197,
1.enti.enti_f.3.com_vot.0,1.enti.enti_f.3,1,1,20250608120000,2,225,225,"3,89",0,0,4928,
1.enti.enti_f.3.com_vot.1,1.enti.enti_f.3,1,2,20250608190000,2,225,225,"10,26",0,0,13003,
1.enti.enti_f.3.com_vot.2,1.enti.enti_f.3,1,3,20250608230000,2,225,225,"17,99",0,0,22801,
1.enti.enti_f.3.com_vot.3,1.enti.enti_f.3,1,4,20250609150000,2,225,225,"25,54",15187,17184,32371,
1.enti.enti_f.4.com_vot.0,1.enti.enti_f.4,1,1,20250608120000,2,776,776,"4,41",0,0,21468,
1.enti.enti_f.4.com_vot.1,1.enti.enti_f.4,1,2,20250608190000,2,776,776,"10,56",0,0,51377,
1.enti.enti_f.4.com_vot.2,1.enti.enti_f.4,1,3,20250608230000,2,776,776,"16,34",0,0,79490,
1.enti.enti_f.4.com_vot.3,1.enti.enti_f.4,1,4,20250609150000,2,776,776,"23,26",52129,61009,113138,
1.enti.enti_f.5.com_vot.0,1.enti.enti_f.5,1,1,20250608120000,2,1186,1186,"5,06",0,0,49290,
1.enti.enti_f.5.com_vot.1,1.enti.enti_f.5,1,2,20250608190000,2,1186,1186,"12,38",0,0,120667,
1.enti.enti_f.5.com_vot.2,1.enti.enti_f.5,1,3,20250608230000,2,1186,1186,"18,07",0,0,176168,
1.enti.enti_f.5.com_vot.3,1.enti.enti_f.5,1,4,20250609150000,2,1186,1186,"24,87",112963,129463,242426,
1.enti.enti_f.6.com_vot.0,1.enti.enti_f.6,1,1,20250608120000,2,310,310,"4,79",0,0,11478,
1.enti.enti_f.6.com_vot.1,1.enti.enti_f.6,1,2,20250608190000,2,310,310,"10,75",0,0,25768,
1.enti.enti_f.6.com_vot.2,1.enti.enti_f.6,1,3,20250608230000,2,310,310,"16,36",0,0,39228,
1.enti.enti_f.6.com_vot.3,1.enti.enti_f.6,1,4,20250609150000,2,310,310,"23,11",25762,29635,55397,
1.enti.enti_f.7.com_vot.0,1.enti.enti_f.7,1,1,20250608120000,2,422,422,"4,79",0,0,14883,
1.enti.enti_f.7.com_vot.1,1.enti.enti_f.7,1,2,20250608190000,2,422,422,"9,77",0,0,30342,
1.enti.enti_f.7.com_vot.2,1.enti.enti_f.7,1,3,20250608230000,2,422,422,"15,48",0,0,48043,
1.enti.enti_f.7.com_vot.3,1.enti.enti_f.7,1,4,20250609150000,2,422,422,"22,53",33276,36673,69949,
1.enti.enti_f.8.com_vot.0,1.enti.enti_f.8,1,1,20250608120000,2,460,460,"3,61",0,0,11925,
1.enti.enti_f.8.com_vot.1,1.enti.enti_f.8,1,2,20250608190000,2,460,460,"9,08",0,0,29966,
1.enti.enti_f.8.com_vot.2,1.enti.enti_f.8,1,3,20250608230000,2,460,460,"13,86",0,0,45742,
1.enti.enti_f.8.com_vot.3,1.enti.enti_f.8,1,4,20250609150000,2,460,460,"20,30",31466,35554,67020,
2.enti.enti_f.0.com_vot.0,2.enti.enti_f.0,2,1,20250608120000,2,977,977,"7,78",0,0,65658,
2.enti.enti_f.0.com_vot.1,2.enti.enti_f.0,2,2,20250608190000,2,977,977,"17,12",0,0,144455,
2.enti.enti_f.0.com_vot.2,2.enti.enti_f.0,2,3,20250608230000,2,977,977,"22,34",0,0,188486,
2.enti.enti_f.0.com_vot.3,2.enti.enti_f.0,2,4,20250609150000,2,977,977,"28,85",114088,129338,243426,
2.enti.enti_f.1.com_vot.0,2.enti.enti_f.1,2,1,20250608120000,2,1172,1172,"7,14",0,0,67756,
2.enti.enti_f.1.com_vot.1,2.enti.enti_f.1,2,2,20250608190000,2,1172,1172,"15,38",0,0,145934,
2.enti.enti_f.1.com_vot.2,2.enti.enti_f.1,2,3,20250608230000,2,1172,1172,"20,29",0,0,192539,
2.enti.enti_f.1.com_vot.3,2.enti.enti_f.1,2,4,20250609150000,2,1172,1172,"26,58",118384,133848,252232,
2.enti.enti_f.2.com_vot.0,2.enti.enti_f.2,2,1,20250608120000,2,551,551,"6,69",0,0,31426,
2.enti.enti_f.2.com_vot.1,2.enti.enti_f.2,2,2,20250608190000,2,551,551,"15,70",0,0,73764,
2.enti.enti_f.2.com_vot.2,2.enti.enti_f.2,2,3,20250608230000,2,551,551,"20,45",0,0,96116,
2.enti.enti_f.2.com_vot.3,2.enti.enti_f.2,2,4,20250609150000,2,551,551,"26,96",58545,68132,126677,
2.enti.enti_f.3.com_vot.0,2.enti.enti_f.3,2,1,20250608120000,2,403,403,"7,92",0,0,21208,
2.enti.enti_f.3.com_vot.1,2.enti.enti_f.3,2,2,20250608190000,2,403,403,"16,48",0,0,44162,
2.enti.enti_f.3.com_vot.2,2.enti.enti_f.3,2,3,20250608230000,2,403,403,"21,36",0,0,57213,
2.enti.enti_f.3.com_vot.3,2.enti.enti_f.3,2,4,20250609150000,2,403,403,"27,84",35046,39531,74577,
2.enti.enti_f.4.com_vot.0,2.enti.enti_f.4,2,1,20250608120000,2,315,315,"7,77",0,0,20368,
2.enti.enti_f.4.com_vot.1,2.enti.enti_f.4,2,2,20250608190000,2,315,315,"17,86",0,0,46789,
2.enti.enti_f.4.com_vot.2,2.enti.enti_f.4,2,3,20250608230000,2,315,315,"23,18",0,0,60738,
2.enti.enti_f.4.com_vot.3,2.enti.enti_f.4,2,4,20250609150000,2,315,315,"29,99",36717,41868,78585,
2.enti.enti_f.5.com_vot.0,2.enti.enti_f.5,2,1,20250608120000,2,221,221,"8,37",0,0,14389,
2.enti.enti_f.5.com_vot.1,2.enti.enti_f.5,2,2,20250608190000,2,221,221,"17,86",0,0,30692,
2.enti.enti_f.5.com_vot.2,2.enti.enti_f.5,2,3,20250608230000,2,221,221,"23,24",0,0,39930,
2.enti.enti_f.5.com_vot.3,2.enti.enti_f.5,2,4,20250609150000,2,221,221,"29,70",24036,26993,51029,
2.enti.enti_f.6.com_vot.0,2.enti.enti_f.6,2,1,20250608120000,2,376,376,"8,74",0,0,26446,
2.enti.enti_f.6.com_vot.1,2.enti.enti_f.6,2,2,20250608190000,2,376,376,"16,93",0,0,51237,
2.enti.enti_f.6.com_vot.2,2.enti.enti_f.6,2,3,20250608230000,2,376,376,"22,65",0,0,68518,
2.enti.enti_f.6.com_vot.3,2.enti.enti_f.6,2,4,20250609150000,2,376,376,"29,91",43008,47487,90495,
2.enti.enti_f.7.com_vot.0,2.enti.enti_f.7,2,1,20250608120000,2,2908,2908,"9,27",0,0,220930,
2.enti.enti_f.7.com_vot.1,2.enti.enti_f.7,2,2,20250608190000,2,2908,2908,"21,60",0,0,514930,
2.enti.enti_f.7.com_vot.2,2.enti.enti_f.7,2,3,20250608230000,2,2908,2908,"28,23",0,0,672793,
2.enti.enti_f.7.com_vot.3,2.enti.enti_f.7,2,4,20250609150000,2,2908,2908,"35,42",387981,456300,844281,
2.enti.enti_f.8.com_vot.0,2.enti.enti_f.8,2,1,20250608120000,2,734,734,"8,13",0,0,55325,
2.enti.enti_f.8.com_vot.1,2.enti.enti_f.8,2,2,20250608190000,2,734,734,"19,61",0,0,133432,
2.enti.enti_f.8.com_vot.2,2.enti.enti_f.8,2,3,20250608230000,2,734,734,"25,71",0,0,174940,
2.enti.enti_f.8.com_vot.3,2.enti.enti_f.8,2,4,20250609150000,2,734,734,"32,26",102358,117179,219537,
